"1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"92",2573.96,2647.51,2896,2640.02,2933.02,3139.01,3192,3720,3595,3834,3723,4362,4319,4427,4415,4827,4521,4675,4966,4965,5221,5181,5237,5251,6032,5668,5838,6212,6548,6408,6846,6967,7852,7443,8232,8258,8582,8885.02,9363,9153.02,9112,9630.03,9673.03,9447,9630,9542,9673,9401,8387,7608,7828,11808,11832
"93",2002,2069.87,2192,1990.01,2265.02,2469.01,2474,2876,2853,2981,3121,3245,3468,3687,3679,3969,3714,3721,4032,3898,4041,4323,4318,4395,4892,4946,4721,5082,5501,5372,5698,5647,6625,6380,6938,7068,7336,7599.02,7993,7766.02,8193,8502.02,8819.02,8027,8622,8500,8803,8851,7887,7609,6654,7528,10763
"94",1497.27,1518.54,1610,1512.01,1661.01,1780,1866,2096,2112,2254,2340,2558,2682,2910,2770,3036,2832,3056,3110,3046,3185,3480,3553,3499,3704,3877,3907,3957,4478,4305,4641,4517,5235,5189,5909,5881,6160,6348.02,6555,6415.02,6648,7038.02,7377.02,7200,7141,7112,7477,7851,7317,7180,6511,6303,6804
"95",1115.48,1046.22,1107,1016.01,1195.01,1317,1341,1527,1615,1769,1767,1913,1999,1911,2217,2427,2200,2229,2387,2452,2513,2528,2648,2732,2928,3012,2885,3172,3411,3495,3643,3771,4118,3990,4521,4574,4847,5058.01,5250,5327.02,5456,5661.02,6151.02,5787,6028,5862,6210,6488,6398,6271,6141,5887,5578
"96",799.42,805.85,829,796.01,818.01,952,953,1167,1102,1236,1260,1417,1468,1434,1480,1759,1685,1760,1759,1785,1852,1966,1991,2087,2269,2255,2296,2434,2613,2664,2822,2777,3251,3150,3528,3596,3691,3933.01,4250,4157.01,4228,4452.01,4799.02,4662,4787,4741,5041,5199,5047,5373,5133,5448,5196
"97",532.78,500.13,564,510,544.01,575.01,636,731,771,779,858,928,1011,1095,1055,1149,1138,1210,1332,1259,1378,1428,1511,1390,1597,1687,1605,1838,1902,1931,2013,2155,2360,2360,2533,2556,2800,2941.01,3168,3136.01,3219,3294.01,3682.01,3565,3733,3741,3785,3983,3846,4204,4256,4379,4262
"98",371.56,360.09,388,348,372,436,414,481,528,561,565,679,679,738,755,777,771,822,938,924,939,1012,1000,1049,1129,1142,1182,1248,1359,1347,1455,1464,1710,1660,1770,1874,1950,2104,2319,2236.01,2441,2485.01,2633.01,2530,2799,2795,2973,3216,2939,3087,3249,3511,3462
"99",215.76,204.71,210,201.01,227,254,284,307,300,337,365,416,434,484,519,536,511,519,590,549,639,647,665,737,785,799,801,917,971,1026,1056,1058,1218,1112,1296,1299,1375,1494,1559,1543,1676,1814,1843.01,1816,1954,1902,2155,2279,2123,2223,2355,2640,2662
"100",121.71,155.5,155,148,148,189,149,217,207,219,246,275,281,303,301,337,332,343,385,452,435,485,497,481,556,549,587,657,705,617,724,707,865,799,886,869,960,1076.01,1080,1069,1176,1233.01,1333.01,1245,1305,1353,1501,1611,1507,1639,1606,1812,1887
"101",72.51,86.54,87,90,109,101,96,117,125,141,173,147,180,198,206,193,246,246,220,268,285,269,324,351,357,336,366,409,459,462,430,483,534,544,605,649,590,634,687,706,763,783,876,881,953,895,954,1016,1128,1134,1155,1220,1232
"102",45.46,43.46,37,47,39.01,67,62,79,74,75,57,89,104,123,114,108,123,141,140,178,163,172,177,193,225,235,220,248,287,288,294,291,343,343,373,353,401,414,452,410,472,543,570,514,606,594,632,669,655,754,719,776,797
"103",29.59,24.18,21,34,28,35,33,48,65,51,43,49,59,81,62,65,76,87,79,78,100,74,116,115,123,119,145,139,176,169,185,170,196,190,220,237,272,261,241,267,273,296,344,322,355,349,406,433,376,473,477,493,516
"104",15.59,17.01,18,10,12,21,23,20,24,24,29,32,26,48,40,38,37,58,46,62,50,49,47,61,77,74,112,105,90,103,102,117,118,128,122,163,140,125,185,149.01,163,175,187,189,197,187,229,241,230,257,257,301,306
"105",7.89,4.33,8,5,10,13,12,14,19,19,14,9,19,20,15,27,20,27,19,28,34,33,27,46,49,34,49,62,60,57,63,62,80,63,83,70,78,99,86,82,85,90,97,86,126,125,126,140,144,124,169,183,184
"106",4.27,1,6,1,5,2,1,6,5,7,7,5,4,10,11,7,10,12,13,14,15,15,17,20,13,16,26,30,32,26,32,32,34,39,41,45,42,71,48,44,36,51,66,56,52,65,55,78,74,72,61,99,98
"107",0,2,1,0,1,4,0,3,1,5,4,4,3,1,3,6,8,5,5,12,9,5,11,7,14,7,16,16,13,13,16,14,20,16,24,21,32,25,20,25,21,35,20,32,28,22,24,43,39,39,41,45,50
"108",1,0,3,1,0,0,0,2,0,2,1,5,2,1,1,6,1,1,3,5,5,6,6,4,6,7,2,10,17,13,11,11,12,6,9,11,10,16,8,14,16,7,12,11,17,18,14,13,25,21,18,30,37
"109",0,0,0,0,1,0,1,0,1,0,3,1,0,1,0,1,0,1,0,3,1,2,2,2,2,1,2,0,1,5,7,0,6,11,4,5,5,10,3,7,7,6,9,9,9,10,12,14,9,7,14,8,17
"110",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,2,2,0,1,1,0,0,2,1,2,0,1,2,3,3,8,5,5,9,5,2,2.99,0,6,9.01,7,4,8,4,13,11,10.01,8.98
