"1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"92",1061.61,1178.29,1228,1087,1257,1350,1293,1413,1431,1332,1467,1589,1510,1595,1564,1601,1500,1566,1615,1510,1652,1624,1617,1658,1803,1705,1648,1752,1868,1875,1936,2151,2535,2467,2786,2842.02,2932,3046,3184,3318,3495,3577.01,3876.02,3762,3881,4022,4128,4003,3775,3450,3619,5642,6077
"93",748.61,761.43,822,788,828,984,918,1025,1009,1035,1003,1093,1175,1165,1206,1259,1183,1145,1211,1144,1204,1248,1257,1204,1372,1348,1287,1367,1487,1405,1527,1548,1940,1850,2095,2164.01,2231,2312.01,2492,2545,2675,2884.01,3117.02,2905,3168,3236,3335,3448,3311,3253,3013,3326,4925
"94",503,538.69,564,523,583,634,677,785,728,793,773,891,838,832,873,858,881,827,874,898,894,988,959,936,1020,1001,985,989,1067,1076,1155,1151,1257,1306,1529,1560.01,1632,1733,1855,1894,2017,2170.01,2209.01,2253,2334,2463,2501,2748,2789,2861,2561,2495,2728
"95",322.85,351.01,378,344,379,438,414,538,473,542,567,561,625,593,617,662,628,616,683,617,649,649,679,681,709,712,711,762,769,827,808,817,900,899,1120,1137,1188,1255,1369,1402,1434,1618,1773.01,1731,1793,1826,2064,2160,2249,2229,2108,2221,2119
"96",240.39,234.14,242,234,266,293,280,340,336,354,351,410,425,441,411,419,466,446,419,436,462,442,478,443,522,516,506,516,609,561,602,593,618,664,696,803,824,829,929,994,994,1125,1194.01,1219,1331,1319,1427,1603,1595,1659,1699,1829,1686
"97",128.66,131.04,124,141,165,160,180,214,201,207,208,268,275,270,291,305,279,303,306,268,293,312,299,309,354,342,332,367,375,411,392,390,486,447,465,507,555,563,649,682,749,758,811,827,922,969,1029,1137,1113,1163,1260,1385,1364
"98",57.67,71.7,84,102,90,124,104,110,134,149,156,169,174,163,183,190,185,166,193,203,213,183,218,199,226,232,232,265,251,250,279,262,307,260,306,308,303,373,428,439,446,505,504.01,558,626,634,725,707,722,833,846,943,961
"99",38.44,40.11,52,58,46,57,61,68,70,105,79,94,91,123,106,105,81,130,122,112,143,126,119,144,141,130,111,172,170,170,194,180,202,188,197,222,209,213,272,260,283,311,318,357,362,353,449,484,467,493,566,657,626
"100",39.39,24.37,25,20,37,24,43,37,52,44,57,60,61,68,54,74,64,61,70,75,90,66,99,106,85,80,98,94,118,109,107,114,130,110,119,139,126,139,147,174,167,190,214,206,251,246,273,318,282,359,332,396,429
"101",16.26,14.25,15,14,19,17,17,29,26,24,33,29,29,40,39,43,41,46,45,42,44,46,47,59,50,69,52,57,67,62,64,72,72,74,77,88,77,93,103,76,99,129,123,113,136,140,188,178,185,216,217,235,251
"102",12.36,3.37,9,9,7,13,12,9,11,8,15,15,14,15,12,19,16,19,21,20,23,23,23,29,32,23,38,37,34,42,45,36,41,45,45,56,61,43,43,61,42,75,68,57,71,82,102,112,100,99,114,122,152
"103",4,5,3,2,4,1,4,6,9,3,3,13,10,3,9,10,12,21,9,8,15,18,14,18,16,16,19,21,21,26,23,24,29,26,20,31,16,26.01,18,25,25,26,37,47,33,37,38,55,67,57,65,71,62
"104",3,2,3,2,1,2,2,4,1,2,1,11,7,5,4,4,5,6,5,9,7,9,3,3,7,8,16,14,8,10,13,11,13,11,20,14,19,10,9,15,19,13,19,15,19,21,22,36,28,27,39,43,49
"105",0,0,0,0,1,2,0,0,3,1,1,1,0,2,0,4,3,3,4,2,3,5,5,5,4,3,4,7,7,6,4,6,11,9,8,7,4,5,12,10,9,12,11,10,14,12,14,15,21,10,16,26,28
"106",0,0,1,1,1,3,0,0,1,0,1,0,1,0,0,2,2,0,1,1,4,2,1,1,1,2,3,5,5,5,3,4,5,1,6,4,1,3,5,3,3,6,3,2,2,5,8,7,1,8,8,5,8
"107",0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,2,0,1,0,0,1,3,2,5,3,1,2,3,1,0,0,1,3,1,0,2,1,3,2,3,3,3,4,5,7
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,2,1,0,0,2,2,1,2,1,0,1,2,0,1,1,0,4,2,0,0,2,1,5,4,2
"109",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,1,1,1,0,1,1,2,0,0,1,0,1,1,2,0,0,0,0
"110",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,0,3
