"1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"92",8727.28,9166.78,9657.19,10270.79,11014.25,11766.44,12548.8,13261.46,13852.44,14278.12,14990.97,15955.97,16599.02,16986.7,17356.76,17748.33,18122.13,18709.59,19289.49,20064.98,20930.47,21330.13,22178.49,23326.78,24178.7,24834.36,26024.7,27284.96,28202.67,29381.68,30908.83,32846.45,34410.68,35869.9,37470.53,38579.99,39530.18,40830.54,42050.82,43546.3,44781.48,45083.73,45290.19,46173.73,47787.51,49186.88,48614.25,47113.98,44016.73,41658.98,45830.72,59200.59,65284.94
"93",6187.47,6406.59,6723.68,7232.47,7817.91,8318.12,8947.91,9495.46,10007.22,10529.55,10863.3,11383.11,12116.19,12631.08,12938.83,13147.02,13489.37,13969.25,14364.48,14824.97,15553.86,16242.56,16593.76,17386.58,18187.46,18796.7,19559.63,20583.02,21450.5,22262.28,23315.08,24634.44,26093.81,27355.04,28648.16,29851.92,30768.06,31454.15,32385.65,33516.05,34995.03,35904.94,35946.06,36320.07,37282.87,38734.44,39997.33,39405,38427.06,36164.36,34377.64,37782.4,48628.7
"94",4268.23,4411.19,4561.92,4904.19,5381.31,5777.57,6175.48,6620.92,7019.62,7463.15,7850.75,8048.29,8398.67,8937.26,9376,9583.13,9768.04,10159.39,10494.77,10846.56,11286.08,11811.49,12327.49,12677.15,13273.81,13836.01,14437.27,15162.65,15849.61,16535.88,17277.93,18202.1,19147.97,20250.74,21275.28,22219.88,23248.52,23908.91,24353.99,25216.88,26297.91,27413.03,27956.2,28110.59,28596.07,29475.44,30790.51,31701.06,31401.55,30880.1,29192.95,27760.62,30305.6
"95",2912.29,2971,3081.04,3245.6,3556.76,3889.36,4195.63,4463.87,4773.81,5077.95,5423.74,5691.11,5748.69,6014.54,6478.72,6755.57,6947.24,7182.92,7450.87,7734.53,8035.55,8345.89,8756.77,9206.55,9465.42,9882.27,10398.2,10942.5,11407.56,11921.77,12495.52,13126.41,13780.49,14501.15,15340.55,16046.49,16848.36,17624.49,18076.6,18451.41,19233.14,20096.4,20825.65,21276.76,21555.4,22040.21,22807.73,23770.36,24601.82,24551.84,24274.4,22962.57,21701.51
"96",1928.58,1974,2028.96,2143.34,2293.88,2493.29,2754.36,2954.2,3117.2,3348.19,3579.28,3842.63,3992.72,4049.58,4262.1,4520.63,4745.63,4985.68,5159.67,5361.55,5594.48,5828.04,6069.25,6407.64,6711.16,6872.57,7280.62,7709.2,8045.59,8382.8,8787.38,9253.08,9671.81,10167.67,10724.8,11304.17,11896.29,12495.83,13018.57,13340.08,13686.65,14308.67,14870.44,15492.44,15964.29,16225.98,16606.88,17114.66,18018.85,18805.46,18816.56,18591.69,17454.92
"97",1230.97,1271.15,1303.1,1358.47,1477.31,1576.09,1720.01,1889.38,2016,2151.12,2319.02,2472.42,2643.77,2741.7,2786.71,2909.32,3096.26,3305.95,3477.43,3634.39,3799.31,3946.16,4110.63,4330.94,4587.21,4767.14,4930.47,5248.75,5520.88,5777.61,6045.77,6363.74,6629.52,6909.75,7293.95,7690.54,8162.93,8579.17,8949.51,9355.79,9666.75,9914.92,10273.38,10724.14,11322.52,11715.74,11925.83,12134.35,12629.97,13434.01,14046,14014.16,13748.36
"98",764.57,791.09,819.47,852.59,918.09,995.83,1063.16,1158.85,1265.66,1359.14,1464.28,1564.33,1653.81,1768.46,1831.95,1856.53,1955.08,2117.2,2237.17,2369.06,2517.43,2614.97,2715.59,2878.4,3045.21,3209.43,3369.03,3478.74,3672.03,3893.06,4099.66,4290.6,4458.77,4615.27,4846.3,5124.6,5411.29,5731.77,5967.54,6254.24,6612.01,6817.35,6913.08,7189.24,7597.03,8069.16,8397.74,8456.81,8655.67,9143.22,9763.08,10185.86,10110.6
"99",451.95,478.25,502.16,534.07,567.7,598.71,649.45,693.92,758.18,837.71,904.85,961.99,1014.81,1075,1148.22,1186.52,1210.14,1303.06,1405.47,1492.23,1611.92,1714.48,1788.19,1858.31,1957.96,2085.59,2236.13,2337.26,2367.03,2502.48,2677.18,2847.43,2941.95,3045.47,3164.15,3298.55,3511.61,3693.2,3877.01,4068.96,4298.49,4521.2,4632.59,4723.51,4930.47,5256.81,5628.23,5750.76,5834.48,6082.54,6442.01,6848.92,7108.91
"100",249.58,276.48,295.2,322.06,351.72,362.24,378.91,408.61,434.28,491.5,544.91,577.77,608.93,637.21,672.78,724.16,753.93,781.2,841.85,908.63,970.42,1057.26,1137.75,1189.15,1215.96,1281.32,1396.81,1493.33,1519.56,1537.54,1644.97,1786.03,1881.54,1939.19,2020.55,2070.32,2170.66,2281.08,2385.02,2558.43,2700.3,2821.54,2957.24,3062.14,3140.64,3294.71,3528.96,3732.5,3852.99,3954.7,4120.6,4340.79,4594.15
"101",133.55,142.7,157.23,176.77,199.6,216.61,230.11,237.06,243.82,263.55,299.43,337.59,360.27,371.65,387.55,417.66,450.8,463.73,485.97,516.1,553.75,607.6,669.63,729.56,757.63,772.26,828.15,899.12,945.01,963.71,989.76,1067.55,1148.67,1204.12,1242.39,1277.84,1311.63,1371.24,1425.98,1511.9,1643.97,1728.13,1782.96,1885.45,1976.72,2028.18,2136.74,2282.66,2431.69,2511.66,2588.48,2693.52,2829.72
