"1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"92",2944.73,3088.37,3202.7,3400.71,3677.41,3844.88,3992.46,4155.25,4231.55,4339.25,4477.57,4563.75,4679.17,4757.46,4757.01,4749.44,4759.85,4829.63,4887.65,5018.47,5202.81,5229.05,5336.52,5545.34,5666.43,5670.29,5839.03,6088.51,6251.65,6472.97,6949.51,7715.92,8292.76,8746.22,9295.16,9801.95,10268.5,10844.95,11467.26,12195.5,12848.49,13291.74,13795.74,14473,15239.86,16032.82,16391.01,16420.77,15730.77,15258.45,17374.61,23350.68,26727.74
"93",1943.16,2010.28,2095.08,2225.18,2413.68,2576.29,2710.82,2835.33,2938.99,3029.34,3130.92,3192.75,3226.91,3321.41,3377.69,3355.13,3364.41,3413.64,3447.94,3518.28,3648.53,3773.17,3802.39,3907.06,4039.12,4111.53,4178.97,4332.43,4472.21,4598.48,4793.82,5165.86,5683.01,6104.9,6457.68,6830.58,7264.03,7650.94,8095.14,8597.55,9196.75,9690.09,9940.25,10394.24,11062.81,11676.16,12336.64,12660.66,12762.22,12292.8,11990.13,13659.06,18323.3
"94",1223.15,1304.92,1340.83,1423.5,1548.1,1658.86,1775.42,1861.12,1951.6,2049.91,2127.82,2191.5,2194.95,2228.31,2305.65,2331.52,2314.57,2356.64,2401.89,2418.19,2484.2,2570.49,2661.81,2720.58,2777.68,2854.71,2958.41,3027.87,3112.1,3215.43,3313.2,3454.23,3699.92,4102.62,4420.8,4629.13,4940.88,5291.14,5563.92,5906.62,6328.09,6768.57,7097.18,7329.47,7742.48,8280.26,8805.62,9317.62,9585.52,9689.41,9377.97,9202.53,10455.85
"95",748.13,793.36,844.11,886.84,965.47,1038.95,1116.42,1170.92,1227.26,1316.87,1378.59,1425.99,1458.95,1469.12,1497.84,1550.3,1570.59,1574.62,1602.4,1630.09,1650.59,1685.36,1751.29,1844.35,1885.62,1914.48,1997.98,2092.55,2129.71,2175.89,2244.39,2328.83,2421.76,2606.82,2888.25,3082.47,3247.28,3484.62,3731.32,3931.26,4215.22,4518.05,4818.64,5090.52,5295.08,5634.35,6064.38,6430.01,6803.17,7036.25,7216.15,7023.56,6844.49
"96",452.08,462.77,494.43,545.49,583.28,624.18,685.37,726.61,751.5,803.57,867.38,909.55,922.7,939.85,956.19,975.24,1010.15,1034.09,1038.46,1066.63,1092.37,1103.06,1126.32,1186.25,1259.24,1276.94,1307.01,1377.67,1432.18,1443.68,1482.45,1542.69,1603.04,1657.48,1769.95,1957.96,2103.76,2232.56,2398.64,2565.06,2735.8,2933.19,3105.93,3350.27,3577.84,3738.6,3991.13,4269.36,4543.4,4869.83,5116.38,5242.93,5070.05
"97",247.53,269.97,281.75,311.04,345.08,364.29,398.05,434.55,455.86,479.44,525.71,561.54,567.51,571.75,588.36,601.53,611.13,639.59,667.53,684.25,704.56,717.57,722.9,746.13,783.53,828.21,857.96,879.96,914.45,946.29,956.85,993.42,1024.37,1053.28,1094.71,1158.31,1292.25,1417.8,1497.17,1591.53,1714.91,1837.6,1969.37,2103.58,2284.25,2446.92,2561.63,2704.19,2920.66,3173.69,3424.43,3579.79,3670.45
"98",128.43,151.23,167.99,169.83,187.65,210.94,223.24,247.75,271.5,284.16,300.37,326.85,342.12,348.69,346.47,347.63,363.22,380.16,399.92,426.42,441.92,455.77,466.48,468.19,476.15,497.75,545.28,562.55,567.66,595.2,615.67,629.12,636.63,652.13,687.91,702.41,745.02,849.01,920.38,953.24,1018.48,1105.46,1200.17,1300.63,1378.65,1503.12,1612.5,1670.52,1794.17,1974.14,2157.53,2318.04,2422.27
"99",76.34,76.88,89.79,94.6,96.45,109.54,125.02,138.27,153.29,158.29,162.81,177.31,196.06,205.69,205.96,201.57,208.58,223.95,228.62,243.92,260.23,276.86,295.59,297.86,291.92,295.19,323.86,352.37,350.57,359.02,373.57,388.31,394.22,399.39,416.2,431.97,443.87,473.54,531.57,574.78,600.32,636.31,699.26,771.18,829.92,891.76,969.36,1024.67,1080.75,1173.45,1298.38,1412.52,1522.15
"100",44.23,40.15,41.39,51.08,54.27,55.18,63.29,72.22,81.25,85.41,86.89,89.78,100.25,109.94,117.66,120.91,119.3,124.16,127.99,133.44,138.53,153.23,174.05,177.27,177.7,182.19,189.31,204.75,213.21,208.4,213.62,224.19,231.06,236.11,245.81,246.4,257.23,271.62,280.63,317.94,353.27,362.4,376.93,424,476.63,524.55,561.39,587,633.39,679.13,734.14,811.89,883.82
"101",22.69,21.13,20.85,23.11,29.16,30.31,30.7,32.46,36.77,45.45,46.87,43.18,46.13,51.98,60.3,66.32,66.28,66.87,69.34,71.01,72.34,78.05,90.34,98.46,103.42,107.63,108.43,115.44,122.89,125.81,125,126.15,129.18,136.12,142.95,142.34,140.46,150.7,153.14,158.45,192.46,210.34,201.72,216.36,251.94,288.02,317.22,327.51,350.61,378,403.01,445.86,492.43
